,foreigns,EU,length of residence 0-10 years,name,year,Permanent resident population
1100,0.4827731314182242,0.3501568910794909,0.514702468094587,Montreux,2023,24133.885269985574
1101,0.3909971467695736,0.3318849965147983,0.5191706311899725,Morges,2023,16335.580268922447
1102,0.4811811711097188,0.3787968982397268,0.5028352986726645,Moudon,2023,5361.220172772057
1103,0.3053695957734157,0.2486809923163127,0.3416608872697661,Moutier,2023,5067.454846986479
1104,0.2427791146801992,0.217475979208265,0.433188776492564,Muri (AG),2023,6925.460267975981
1105,0.2011672969069355,0.1269904111364803,0.4586471357796703,Muri bei Bern,2023,10686.85944573077
1106,0.2218527485456933,0.2001688219209437,0.4365620499991269,Murten,2023,7123.692849173845
1107,0.2472374594632537,0.1975845170006855,0.3721145476445725,Muttenz,2023,15810.6165501498
1108,0.2359892435931869,0.1973258771998168,0.4325188492920609,Männedorf,2023,10322.65855768956
1109,0.2848423553924724,0.2549325839015589,0.3701529564009018,Möhlin,2023,8978.219473668232
1110,0.303720738573432,0.2434040552139407,0.446507768671338,Möriken-Wildegg,2023,3456.486759421212
1111,0.2190863635882002,0.1611088686028645,0.4069262489631957,Münchenbuchsee,2023,7986.724103999598
1112,0.2964098434555877,0.2281867477770756,0.4343847799437009,Münchenstein,2023,10502.662210446088
1113,0.2612455482324529,0.2349225088954892,0.4426766558965827,Münchwilen (TG),2023,4688.843567046231
1114,0.1583056480902007,0.1178529857802114,0.385707546942616,Münsingen,2023,10368.583530212209
1115,0.2113360928267178,0.1877779823599744,0.3578762263306153,Naters,2023,8900.453444652734
1116,0.1493667218682163,0.1281758927105488,0.3881786783424137,Neftenbach,2023,4426.266678644016
1117,0.2356119410588006,0.2110571438170195,0.4255737504456173,Nendaz,2023,4429.312138673768
1118,0.3402350485452287,0.2554245384027589,0.4659110305411051,Neuchâtel,2023,40483.05646878155
1119,0.2082335322232374,0.1536949227396684,0.4767546652249418,Neuenegg,2023,4122.795799772099
1120,0.5227782717609485,0.4663706332203219,0.4574907414381405,Neuenhof,2023,7574.859486880425
1121,0.1501115086335478,0.1290279798116402,0.4059717528226952,Neuenkirch,2023,5450.081822911079
1122,0.4753793573338271,0.4114151383581163,0.4802467518848385,Neuhausen am Rheinfall,2023,9279.01900605234
1123,0.2796837262217209,0.17001571820561,0.4894712611418704,Nidau,2023,6537.205865367365
1124,0.3237821725122972,0.2905044965863652,0.480084322985077,Niederbipp,2023,4165.8077681893055
1125,0.3097393135058005,0.266220929303836,0.4776957076902375,Niederglatt,2023,4209.068254677881
1126,0.3010319219792429,0.2589177950258082,0.4353357727620346,Niederhasli,2023,8067.765706878114
1127,0.3361236323790456,0.2762198015625648,0.4576286117136116,Niederlenz,2023,3144.0528062625726
1128,0.1959315896918286,0.1786073870138427,0.4189784274434802,Noble-Contrée,2023,3316.916024700032
1129,0.4134363601808493,0.3412880274712992,0.5024570011542174,Nyon,2023,22087.98758094151
